Rayon(cm);keff mean;keff std;masse critique(g)
1.000;0.664;0.054;79.796
2.000;0.663;0.050;638.372
3.000;0.664;0.054;2154.504
4.000;0.666;0.054;5106.973
5.000;0.697;0.047;9974.557
6.000;0.768;0.045;17236.034
7.000;0.847;0.042;27370.184
7.100;0.856;0.043;28560.028
7.200;0.863;0.044;29783.867
7.300;0.868;0.042;31042.177
7.400;0.879;0.043;32335.438
7.500;0.888;0.042;33664.129
7.600;0.899;0.045;35028.728
7.700;0.905;0.043;36429.714
7.800;0.915;0.041;37867.567
7.900;0.921;0.043;39342.764
8.000;0.930;0.041;40855.784
8.100;0.938;0.043;42407.107
8.200;0.948;0.044;43997.211
8.300;0.953;0.043;45626.575
8.400;0.959;0.042;47295.677
8.500;0.971;0.044;49004.997
8.600;0.978;0.043;50755.013
8.700;0.989;0.040;52546.204
8.800;0.997;0.041;54379.049
8.900;1.007;0.042;56254.026
9.000;1.012;0.042;58171.615
9.100;1.019;0.042;60132.293
9.200;1.030;0.042;62136.541
9.300;1.035;0.045;64184.836
9.400;1.045;0.043;66277.657
9.500;1.052;0.046;68415.484
9.600;1.062;0.044;70598.795
9.700;1.068;0.043;72828.069
9.800;1.075;0.045;75103.784
9.900;1.083;0.046;77426.419
10.000;1.091;0.043;79796.453
11.000;1.172;0.044;106209.079
12.000;1.246;0.045;137888.271
13.000;1.319;0.046;175312.808
14.000;1.387;0.053;218961.468
15.000;1.447;0.055;269313.030
16.000;1.513;0.053;326846.273
17.000;1.568;0.054;392039.976
18.000;1.616;0.058;465372.916
19.000;1.663;0.060;547323.874
20.000;1.711;0.055;638371.627
30.000;2.043;0.061;2154504.242
40.000;2.215;0.062;5106973.018
50.000;2.310;0.059;9974556.675
60.000;2.374;0.066;17236033.935
70.000;2.414;0.060;27370183.517
80.000;2.442;0.064;40855784.141
90.000;2.465;0.068;58171614.529
100.000;2.470;0.065;79796453.401
